Buy Threshold,Sell Threshold,2023-06-08,2023-06-09,2023-06-12,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-20,2023-06-21,2023-06-22,2023-06-23,2023-06-26,2023-06-27,2023-06-28,2023-06-29,2023-06-30,2023-07-03,2023-07-05,Sum
0.25,0.0,-0.65,-0.63,-2.22,-1.03,-0.08,-0.17,-0.32,0.17,-2.93,-1.57,0.03,1.56,-3.31,0.25,0.1,0.0,0.0,0.0,-10.8
0.25,-0.005,-0.54,-0.63,-2.22,-1.03,-0.08,-0.17,-0.32,0.17,-2.93,-1.57,0.03,1.56,-3.31,0.25,0.1,0.0,0.0,0.0,-10.69
0.25,-0.01,-0.27,-0.87,-2.22,-1.03,-0.08,-0.3,-0.32,0.17,-2.93,-1.49,0.03,1.48,-3.31,-0.16,0.1,0.0,0.0,0.0,-11.2
0.25,-0.015,-0.27,-0.87,-2.22,-1.03,-0.08,-0.3,-0.32,-0.68,-2.6,-1.49,0.03,1.44,-3.31,-0.16,0.29,0.0,0.0,0.0,-11.57
0.25,-0.02,0.0,-0.87,-2.22,-1.03,-0.08,-0.3,-0.32,-0.68,-2.6,-1.54,0.03,1.44,-3.31,-0.16,0.29,0.0,0.0,0.0,-11.35
0.25,-0.025,0.0,-0.87,-2.22,-1.03,-0.08,-0.3,-0.16,-0.68,-2.6,-1.54,0.03,1.11,-3.6,-0.16,0.29,0.0,0.0,0.0,-11.81
0.25,-0.03,0.0,-0.87,-2.22,-1.03,-0.08,-0.3,-0.16,-0.68,-2.6,-2.18,0.03,1.11,-2.91,-0.16,0.16,0.0,0.0,0.0,-11.89
0.25,-0.035,0.0,-0.87,-2.18,-1.03,-0.08,-0.3,-0.16,-0.68,-2.6,-2.18,0.03,1.11,0.0,-0.16,-0.34,0.0,0.0,0.0,-9.44
0.25,-0.04,0.0,-0.87,-2.18,-1.55,-0.08,-0.3,-0.16,-0.68,-2.6,-2.18,0.03,1.11,0.0,-0.16,-0.34,0.0,0.0,0.0,-9.96
0.25,-0.045,0.0,-0.36,0.0,-1.55,-0.08,-0.3,-0.16,-0.68,-2.6,-2.18,-0.01,1.11,0.0,-0.16,-0.34,0.0,0.0,0.0,-7.31
0.25,-0.05,0.0,-0.36,0.0,-1.23,-0.08,-0.3,-0.16,-0.68,-2.6,-2.18,-0.01,1.11,0.0,-0.16,-0.34,0.0,0.0,0.0,-6.99
0.25,-0.055,0.0,-0.36,0.0,-1.23,-0.08,-0.3,-0.56,-0.68,-2.6,-2.18,-0.01,1.11,0.0,-0.16,0.64,0.0,0.0,0.0,-6.41
0.25,-0.06,0.0,-0.36,0.0,-1.23,-0.08,-0.3,-0.56,-0.68,-2.6,-2.18,-0.01,1.11,0.0,-0.16,0.64,0.0,0.0,0.0,-6.41
0.25,-0.065,0.0,-0.08,0.0,-1.23,0.0,-0.3,0.0,-0.68,0.0,-2.18,-0.01,1.11,0.0,-0.16,1.15,0.0,0.0,0.0,-2.38
0.25,-0.07,0.0,-0.08,0.0,-1.23,0.0,-0.3,0.0,0.0,0.0,-2.18,-0.01,1.11,0.0,-0.16,0.0,0.0,0.0,0.0,-2.85
0.25,-0.075,0.0,0.0,0.0,-1.23,0.0,-0.3,0.0,0.0,0.0,-2.18,-0.01,1.11,0.0,-0.16,0.0,0.0,0.0,0.0,-2.77
0.25,-0.08,0.0,0.0,0.0,-1.23,0.0,-0.3,0.0,0.0,0.0,-2.18,0.96,1.11,0.0,0.0,0.0,0.0,0.0,0.0,-1.64
0.25,-0.085,0.0,0.0,0.0,-1.23,0.0,-0.3,0.0,0.0,0.0,-2.18,0.96,1.11,0.0,0.0,0.0,0.0,0.0,0.0,-1.64
0.25,-0.09,0.0,0.0,0.0,-1.23,0.0,-0.3,0.0,0.0,0.0,0.0,0.96,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.54
0.25,-0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96
0.25,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96
0.25,-0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96
0.25,-0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,0.0,-0.65,-0.63,-2.22,-1.03,-0.08,-0.17,-0.32,0.17,-2.93,-1.57,0.03,1.56,-3.31,0.25,0.1,0.0,0.0,0.0,-10.8
0.245,-0.005,-0.54,-0.63,-2.22,-1.03,-0.08,-0.17,-0.32,0.17,-2.93,-1.57,0.03,1.56,-3.31,0.25,0.1,0.0,0.0,0.0,-10.69
0.245,-0.01,-0.27,-0.87,-2.22,-1.03,-0.08,-0.3,-0.32,0.17,-2.93,-1.49,0.03,1.48,-3.31,-0.16,0.1,0.0,0.0,0.0,-11.2
0.245,-0.015,-0.27,-0.87,-2.22,-1.03,-0.08,-0.3,-0.32,-0.68,-2.6,-1.49,0.03,1.44,-3.31,-0.16,0.29,0.0,0.0,0.0,-11.57
0.245,-0.02,0.0,-0.87,-2.22,-1.03,-0.08,-0.3,-0.32,-0.68,-2.6,-1.54,0.03,1.44,-3.31,-0.16,0.29,0.0,0.0,0.0,-11.35
0.245,-0.025,0.0,-0.87,-2.22,-1.03,-0.08,-0.3,-0.16,-0.68,-2.6,-1.54,0.03,1.11,-3.6,-0.16,0.29,0.0,0.0,0.0,-11.81
0.245,-0.03,0.0,-0.87,-2.22,-1.03,-0.08,-0.3,-0.16,-0.68,-2.6,-2.18,0.03,1.11,-2.91,-0.16,0.16,0.0,0.0,0.0,-11.89
0.245,-0.035,0.0,-0.87,-2.18,-1.03,-0.08,-0.3,-0.16,-0.68,-2.6,-2.18,0.03,1.11,0.0,-0.16,-0.34,0.0,0.0,0.0,-9.44
0.245,-0.04,0.0,-0.87,-2.18,-1.55,-0.08,-0.3,-0.16,-0.68,-2.6,-2.18,0.03,1.11,0.0,-0.16,-0.34,0.0,0.0,0.0,-9.96
0.245,-0.045,0.0,-0.36,0.0,-1.55,-0.08,-0.3,-0.16,-0.68,-2.6,-2.18,-0.01,1.11,0.0,-0.16,-0.34,0.0,0.0,0.0,-7.31
0.245,-0.05,0.0,-0.36,0.0,-1.23,-0.08,-0.3,-0.16,-0.68,-2.6,-2.18,-0.01,1.11,0.0,-0.16,-0.34,0.0,0.0,0.0,-6.99
0.245,-0.055,0.0,-0.36,0.0,-1.23,-0.08,-0.3,-0.56,-0.68,-2.6,-2.18,-0.01,1.11,0.0,-0.16,0.64,0.0,0.0,0.0,-6.41
0.245,-0.06,0.0,-0.36,0.0,-1.23,-0.08,-0.3,-0.56,-0.68,-2.6,-2.18,-0.01,1.11,0.0,-0.16,0.64,0.0,0.0,0.0,-6.41
0.245,-0.065,0.0,-0.08,0.0,-1.23,0.0,-0.3,0.0,-0.68,0.0,-2.18,-0.01,1.11,0.0,-0.16,1.15,0.0,0.0,0.0,-2.38
0.245,-0.07,0.0,-0.08,0.0,-1.23,0.0,-0.3,0.0,0.0,0.0,-2.18,-0.01,1.11,0.0,-0.16,0.0,0.0,0.0,0.0,-2.85
0.245,-0.075,0.0,0.0,0.0,-1.23,0.0,-0.3,0.0,0.0,0.0,-2.18,-0.01,1.11,0.0,-0.16,0.0,0.0,0.0,0.0,-2.77
0.245,-0.08,0.0,0.0,0.0,-1.23,0.0,-0.3,0.0,0.0,0.0,-2.18,0.96,1.11,0.0,0.0,0.0,0.0,0.0,0.0,-1.64
0.245,-0.085,0.0,0.0,0.0,-1.23,0.0,-0.3,0.0,0.0,0.0,-2.18,0.96,1.11,0.0,0.0,0.0,0.0,0.0,0.0,-1.64
0.245,-0.09,0.0,0.0,0.0,-1.23,0.0,-0.3,0.0,0.0,0.0,0.0,0.96,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.54
0.245,-0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96
0.245,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96
0.245,-0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96
0.245,-0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,0.0,-0.65,-0.63,-2.22,-1.03,-0.08,-0.17,-0.32,0.17,-2.93,-1.57,0.03,1.56,-3.31,0.25,0.1,0.0,0.0,0.0,-10.8
0.24,-0.005,-0.54,-0.63,-2.22,-1.03,-0.08,-0.17,-0.32,0.17,-2.93,-1.57,0.03,1.56,-3.31,0.25,0.1,0.0,0.0,0.0,-10.69
0.24,-0.01,-0.27,-0.87,-2.22,-1.03,-0.08,-0.3,-0.32,0.17,-2.93,-1.49,0.03,1.48,-3.31,-0.16,0.1,0.0,0.0,0.0,-11.2
0.24,-0.015,-0.27,-0.87,-2.22,-1.03,-0.08,-0.3,-0.32,-0.68,-2.6,-1.49,0.03,1.44,-3.31,-0.16,0.29,0.0,0.0,0.0,-11.57
0.24,-0.02,0.0,-0.87,-2.22,-1.03,-0.08,-0.3,-0.32,-0.68,-2.6,-1.54,0.03,1.44,-3.31,-0.16,0.29,0.0,0.0,0.0,-11.35
0.24,-0.025,0.0,-0.87,-2.22,-1.03,-0.08,-0.3,-0.16,-0.68,-2.6,-1.54,0.03,1.11,-3.6,-0.16,0.29,0.0,0.0,0.0,-11.81
0.24,-0.03,0.0,-0.87,-2.22,-1.03,-0.08,-0.3,-0.16,-0.68,-2.6,-2.18,0.03,1.11,-2.91,-0.16,0.16,0.0,0.0,0.0,-11.89
0.24,-0.035,0.0,-0.87,-2.18,-1.03,-0.08,-0.3,-0.16,-0.68,-2.6,-2.18,0.03,1.11,0.0,-0.16,-0.34,0.0,0.0,0.0,-9.44
0.24,-0.04,0.0,-0.87,-2.18,-1.55,-0.08,-0.3,-0.16,-0.68,-2.6,-2.18,0.03,1.11,0.0,-0.16,-0.34,0.0,0.0,0.0,-9.96
0.24,-0.045,0.0,-0.36,0.0,-1.55,-0.08,-0.3,-0.16,-0.68,-2.6,-2.18,-0.01,1.11,0.0,-0.16,-0.34,0.0,0.0,0.0,-7.31
0.24,-0.05,0.0,-0.36,0.0,-1.23,-0.08,-0.3,-0.16,-0.68,-2.6,-2.18,-0.01,1.11,0.0,-0.16,-0.34,0.0,0.0,0.0,-6.99
0.24,-0.055,0.0,-0.36,0.0,-1.23,-0.08,-0.3,-0.56,-0.68,-2.6,-2.18,-0.01,1.11,0.0,-0.16,0.64,0.0,0.0,0.0,-6.41
0.24,-0.06,0.0,-0.36,0.0,-1.23,-0.08,-0.3,-0.56,-0.68,-2.6,-2.18,-0.01,1.11,0.0,-0.16,0.64,0.0,0.0,0.0,-6.41
0.24,-0.065,0.0,-0.08,0.0,-1.23,0.0,-0.3,0.0,-0.68,0.0,-2.18,-0.01,1.11,0.0,-0.16,1.15,0.0,0.0,0.0,-2.38
0.24,-0.07,0.0,-0.08,0.0,-1.23,0.0,-0.3,0.0,0.0,0.0,-2.18,-0.01,1.11,0.0,-0.16,0.0,0.0,0.0,0.0,-2.85
0.24,-0.075,0.0,0.0,0.0,-1.23,0.0,-0.3,0.0,0.0,0.0,-2.18,-0.01,1.11,0.0,-0.16,0.0,0.0,0.0,0.0,-2.77
0.24,-0.08,0.0,0.0,0.0,-1.23,0.0,-0.3,0.0,0.0,0.0,-2.18,0.96,1.11,0.0,0.0,0.0,0.0,0.0,0.0,-1.64
0.24,-0.085,0.0,0.0,0.0,-1.23,0.0,-0.3,0.0,0.0,0.0,-2.18,0.96,1.11,0.0,0.0,0.0,0.0,0.0,0.0,-1.64
0.24,-0.09,0.0,0.0,0.0,-1.23,0.0,-0.3,0.0,0.0,0.0,0.0,0.96,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.54
0.24,-0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96
0.24,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96
0.24,-0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96
0.24,-0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.235,0.0,-0.65,-0.63,-2.22,-1.03,-0.08,-0.17,-0.32,0.17,-2.93,-1.57,0.03,1.56,-3.31,0.25,0.1,0.0,0.0,0.0,-10.8
0.235,-0.005,-0.54,-0.63,-2.22,-1.03,-0.08,-0.17,-0.32,0.17,-2.93,-1.57,0.03,1.56,-3.31,0.25,0.1,0.0,0.0,0.0,-10.69
0.235,-0.01,-0.27,-0.87,-2.22,-1.03,-0.08,-0.3,-0.32,0.17,-2.93,-1.49,0.03,1.48,-3.31,-0.16,0.1,0.0,0.0,0.0,-11.2
0.235,-0.015,-0.27,-0.87,-2.22,-1.03,-0.08,-0.3,-0.32,-0.68,-2.6,-1.49,0.03,1.44,-3.31,-0.16,0.29,0.0,0.0,0.0,-11.57
0.235,-0.02,0.0,-0.87,-2.22,-1.03,-0.08,-0.3,-0.32,-0.68,-2.6,-1.54,0.03,1.44,-3.31,-0.16,0.29,0.0,0.0,0.0,-11.35
