Buy Threshold,Sell Threshold,2023-06-08,2023-06-09,2023-06-12,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-20,2023-06-21,2023-06-22,2023-06-23,2023-06-26,2023-06-27,2023-06-28,2023-06-29,2023-06-30,2023-07-03,2023-07-05,Sum
0.25,-0.06,0.0,-0.62,-0.08,0.0,0.94,0.12,0.83,-3.28,3.87,-1.08,-0.24,1.19,0.0,-0.51,-0.85,0.0,0.0,0.31,0.6
0.25,-0.065,0.0,-0.62,-0.08,0.0,0.94,0.12,0.83,-2.53,3.87,-1.08,-0.24,1.19,0.0,-0.51,0.0,0.0,0.0,0.31,2.2
0.25,-0.07,0.0,-0.62,-0.08,0.0,-0.62,0.12,0.83,-2.53,1.72,-1.08,-0.24,0.33,0.0,-1.59,0.0,0.0,0.0,0.31,-3.45
0.25,-0.075,0.0,0.0,-0.08,0.0,-0.62,0.12,0.83,-2.53,1.72,-1.08,-0.24,0.33,0.0,-1.59,0.0,0.0,0.0,1.09,-2.05
0.25,-0.08,0.0,0.0,-0.08,0.0,-0.62,0.12,0.41,-2.53,0.0,-1.08,-0.24,0.33,0.0,-1.59,0.0,0.0,0.0,1.09,-4.19
0.25,-0.085,0.0,0.0,0.0,0.0,-0.62,0.12,0.41,-2.53,0.0,-1.08,-0.24,0.33,0.0,-1.59,0.0,0.0,0.0,1.09,-4.11
0.25,-0.09,0.0,0.0,0.0,0.0,-0.62,0.0,0.41,-1.11,0.0,-1.08,-0.24,0.33,0.0,0.0,0.0,0.0,0.0,0.0,-2.31
0.25,-0.095,0.0,0.0,0.0,0.0,-0.62,0.0,0.41,-1.11,0.0,-1.08,-0.24,0.33,0.0,0.0,0.0,0.0,0.0,0.0,-2.31
0.25,-0.1,0.0,0.0,0.0,0.0,-0.62,0.0,0.41,-1.11,0.0,-1.08,-0.24,0.33,0.0,0.0,0.0,0.0,0.0,0.0,-2.31
0.25,-0.105,0.0,0.0,0.0,0.0,-0.62,0.0,0.41,-1.11,0.0,-1.08,-0.24,0.33,0.0,0.0,0.0,0.0,0.0,0.0,-2.31
0.25,-0.11,0.0,0.0,0.0,0.0,-0.62,0.0,0.41,0.0,0.0,-1.08,-0.24,0.33,0.0,0.0,0.0,0.0,0.0,0.0,-1.2
0.25,-0.115,0.0,0.0,0.0,0.0,-0.62,0.0,0.41,0.0,0.0,-1.08,-0.24,0.33,0.0,0.0,0.0,0.0,0.0,0.0,-1.2
0.25,-0.12,0.0,0.0,0.0,0.0,-0.62,0.0,0.41,0.0,0.0,0.0,-0.24,0.33,0.0,0.0,0.0,0.0,0.0,0.0,-0.12
0.25,-0.125,0.0,0.0,0.0,0.0,-0.62,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.86
0.25,-0.13,0.0,0.0,0.0,0.0,-0.62,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.86
0.25,-0.135,0.0,0.0,0.0,0.0,-0.62,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.86
0.25,-0.14,0.0,0.0,0.0,0.0,-0.62,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.86
0.25,-0.145,0.0,0.0,0.0,0.0,-0.62,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.86
0.25,-0.15,0.0,0.0,0.0,0.0,-0.62,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.86
0.25,-0.155,0.0,0.0,0.0,0.0,-0.62,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.86
0.25,-0.16,0.0,0.0,0.0,0.0,-0.62,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.86
0.25,-0.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24
0.25,-0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24
0.25,-0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24
0.25,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-0.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,0.0,-1.75,1.04,0.02,-0.8,-0.13,1.01,1.07,-3.61,4.01,-0.94,0.45,4.77,-2.64,0.21,-0.66,0.0,0.0,0.31,2.36
0.245,-0.005,-1.75,1.04,0.02,-0.8,-0.13,1.01,0.83,-3.61,4.01,-0.94,0.45,4.77,-2.64,0.21,-0.66,0.0,0.0,0.31,2.12
0.245,-0.01,-1.82,1.04,-0.13,-0.8,-0.13,1.01,0.83,-3.61,4.01,-0.94,0.45,4.77,-2.64,0.21,-0.66,0.0,0.0,0.31,1.9
0.245,-0.015,-1.82,0.48,-0.13,-0.72,-0.13,1.01,0.83,-3.61,4.01,-0.94,0.45,4.74,-2.64,0.21,-0.66,0.0,0.0,0.31,1.39
0.245,-0.02,-1.82,0.48,-0.13,-0.72,-0.13,0.73,0.83,-3.61,3.41,-0.94,-0.34,4.74,-2.64,0.21,-0.78,0.0,0.0,0.31,-0.4
0.245,-0.025,-1.82,-0.75,-0.08,-0.72,-0.13,0.73,0.83,-3.61,3.41,-0.94,-0.34,4.74,-2.48,-0.28,-0.91,0.0,0.0,0.31,-2.04
0.245,-0.03,-1.82,-0.75,-0.08,-1.04,-0.13,0.27,0.83,-3.61,3.41,-0.94,-0.34,4.74,-2.48,-0.51,-0.91,0.0,0.0,0.31,-3.05
0.245,-0.035,-1.86,-0.75,-0.08,-1.04,-0.13,0.27,0.83,-3.46,3.41,-1.07,-0.34,4.74,-2.81,-0.51,-0.91,0.0,0.0,0.31,-3.4
0.245,-0.04,-1.86,-0.75,-0.08,-1.04,0.64,0.27,0.83,-3.46,3.41,-1.08,-0.34,4.74,-3.17,-0.51,-1.54,0.0,0.0,0.31,-3.63
0.245,-0.045,-1.86,-0.19,-0.08,-1.04,0.64,0.27,0.83,-3.46,3.41,-1.08,-0.34,4.74,-3.17,-0.51,-1.17,0.0,0.0,0.31,-2.7
0.245,-0.05,-1.86,-0.62,-0.08,-0.8,0.94,0.15,0.83,-3.28,3.41,-1.08,-0.91,3.21,-3.17,-0.51,-1.17,0.0,0.0,0.31,-4.63
0.245,-0.055,0.0,-0.62,-0.08,-0.8,0.94,0.12,0.83,-3.28,3.41,-1.08,-0.91,3.21,0.0,-0.51,-0.82,0.0,0.0,0.31,0.72
0.245,-0.06,0.0,-0.62,-0.08,0.0,0.94,0.12,0.83,-3.28,3.87,-1.08,-0.24,1.19,0.0,-0.51,-0.85,0.0,0.0,0.31,0.6
0.245,-0.065,0.0,-0.62,-0.08,0.0,0.94,0.12,0.83,-2.53,3.87,-1.08,-0.24,1.19,0.0,-0.51,0.0,0.0,0.0,0.31,2.2
0.245,-0.07,0.0,-0.62,-0.08,0.0,-0.62,0.12,0.83,-2.53,1.72,-1.08,-0.24,0.33,0.0,-1.59,0.0,0.0,0.0,0.31,-3.45
0.245,-0.075,0.0,0.0,-0.08,0.0,-0.62,0.12,0.83,-2.53,1.72,-1.08,-0.24,0.33,0.0,-1.59,0.0,0.0,0.0,1.09,-2.05
0.245,-0.08,0.0,0.0,-0.08,0.0,-0.62,0.12,0.41,-2.53,0.0,-1.08,-0.24,0.33,0.0,-1.59,0.0,0.0,0.0,1.09,-4.19
0.245,-0.085,0.0,0.0,0.0,0.0,-0.62,0.12,0.41,-2.53,0.0,-1.08,-0.24,0.33,0.0,-1.59,0.0,0.0,0.0,1.09,-4.11
0.245,-0.09,0.0,0.0,0.0,0.0,-0.62,0.0,0.41,-1.11,0.0,-1.08,-0.24,0.33,0.0,0.0,0.0,0.0,0.0,0.0,-2.31
0.245,-0.095,0.0,0.0,0.0,0.0,-0.62,0.0,0.41,-1.11,0.0,-1.08,-0.24,0.33,0.0,0.0,0.0,0.0,0.0,0.0,-2.31
0.245,-0.1,0.0,0.0,0.0,0.0,-0.62,0.0,0.41,-1.11,0.0,-1.08,-0.24,0.33,0.0,0.0,0.0,0.0,0.0,0.0,-2.31
0.245,-0.105,0.0,0.0,0.0,0.0,-0.62,0.0,0.41,-1.11,0.0,-1.08,-0.24,0.33,0.0,0.0,0.0,0.0,0.0,0.0,-2.31
0.245,-0.11,0.0,0.0,0.0,0.0,-0.62,0.0,0.41,0.0,0.0,-1.08,-0.24,0.33,0.0,0.0,0.0,0.0,0.0,0.0,-1.2
0.245,-0.115,0.0,0.0,0.0,0.0,-0.62,0.0,0.41,0.0,0.0,-1.08,-0.24,0.33,0.0,0.0,0.0,0.0,0.0,0.0,-1.2
0.245,-0.12,0.0,0.0,0.0,0.0,-0.62,0.0,0.41,0.0,0.0,0.0,-0.24,0.33,0.0,0.0,0.0,0.0,0.0,0.0,-0.12
0.245,-0.125,0.0,0.0,0.0,0.0,-0.62,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.86
0.245,-0.13,0.0,0.0,0.0,0.0,-0.62,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.86
0.245,-0.135,0.0,0.0,0.0,0.0,-0.62,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.86
0.245,-0.14,0.0,0.0,0.0,0.0,-0.62,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.86
0.245,-0.145,0.0,0.0,0.0,0.0,-0.62,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.86
0.245,-0.15,0.0,0.0,0.0,0.0,-0.62,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.86
0.245,-0.155,0.0,0.0,0.0,0.0,-0.62,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.86
0.245,-0.16,0.0,0.0,0.0,0.0,-0.62,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.86
0.245,-0.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24
0.245,-0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24
0.245,-0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24
0.245,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.245,-0.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,0.0,-1.75,1.04,0.02,-0.8,-0.13,1.01,1.07,-3.61,4.01,-0.94,0.45,4.77,-2.64,0.21,-0.66,0.0,0.0,0.31,2.36
0.24,-0.005,-1.75,1.04,0.02,-0.8,-0.13,1.01,0.83,-3.61,4.01,-0.94,0.45,4.77,-2.64,0.21,-0.66,0.0,0.0,0.31,2.12
0.24,-0.01,-1.82,1.04,-0.13,-0.8,-0.13,1.01,0.83,-3.61,4.01,-0.94,0.45,4.77,-2.64,0.21,-0.66,0.0,0.0,0.31,1.9
0.24,-0.015,-1.82,0.48,-0.13,-0.72,-0.13,1.01,0.83,-3.61,4.01,-0.94,0.45,4.74,-2.64,0.21,-0.66,0.0,0.0,0.31,1.39
0.24,-0.02,-1.82,0.48,-0.13,-0.72,-0.13,0.73,0.83,-3.61,3.41,-0.94,-0.34,4.74,-2.64,0.21,-0.78,0.0,0.0,0.31,-0.4
0.24,-0.025,-1.82,-0.75,-0.08,-0.72,-0.13,0.73,0.83,-3.61,3.41,-0.94,-0.34,4.74,-2.48,-0.28,-0.91,0.0,0.0,0.31,-2.04
0.24,-0.03,-1.82,-0.75,-0.08,-1.04,-0.13,0.27,0.83,-3.61,3.41,-0.94,-0.34,4.74,-2.48,-0.51,-0.91,0.0,0.0,0.31,-3.05
0.24,-0.035,-1.86,-0.75,-0.08,-1.04,-0.13,0.27,0.83,-3.46,3.41,-1.07,-0.34,4.74,-2.81,-0.51,-0.91,0.0,0.0,0.31,-3.4
0.24,-0.04,-1.86,-0.75,-0.08,-1.04,0.64,0.27,0.83,-3.46,3.41,-1.08,-0.34,4.74,-3.17,-0.51,-1.54,0.0,0.0,0.31,-3.63
0.24,-0.045,-1.86,-0.19,-0.08,-1.04,0.64,0.27,0.83,-3.46,3.41,-1.08,-0.34,4.74,-3.17,-0.51,-1.17,0.0,0.0,0.31,-2.7
0.24,-0.05,-1.86,-0.62,-0.08,-0.8,0.94,0.15,0.83,-3.28,3.41,-1.08,-0.91,3.21,-3.17,-0.51,-1.17,0.0,0.0,0.31,-4.63
0.24,-0.055,0.0,-0.62,-0.08,-0.8,0.94,0.12,0.83,-3.28,3.41,-1.08,-0.91,3.21,0.0,-0.51,-0.82,0.0,0.0,0.31,0.72
0.24,-0.06,0.0,-0.62,-0.08,0.0,0.94,0.12,0.83,-3.28,3.87,-1.08,-0.24,1.19,0.0,-0.51,-0.85,0.0,0.0,0.31,0.6
0.24,-0.065,0.0,-0.62,-0.08,0.0,0.94,0.12,0.83,-2.53,3.87,-1.08,-0.24,1.19,0.0,-0.51,0.0,0.0,0.0,0.31,2.2
0.24,-0.07,0.0,-0.62,-0.08,0.0,-0.62,0.12,0.83,-2.53,1.72,-1.08,-0.24,0.33,0.0,-1.59,0.0,0.0,0.0,0.31,-3.45
0.24,-0.075,0.0,0.0,-0.08,0.0,-0.62,0.12,0.83,-2.53,1.72,-1.08,-0.24,0.33,0.0,-1.59,0.0,0.0,0.0,1.09,-2.05
0.24,-0.08,0.0,0.0,-0.08,0.0,-0.62,0.12,0.41,-2.53,0.0,-1.08,-0.24,0.33,0.0,-1.59,0.0,0.0,0.0,1.09,-4.19
0.24,-0.085,0.0,0.0,0.0,0.0,-0.62,0.12,0.41,-2.53,0.0,-1.08,-0.24,0.33,0.0,-1.59,0.0,0.0,0.0,1.09,-4.11
0.24,-0.09,0.0,0.0,0.0,0.0,-0.62,0.0,0.41,-1.11,0.0,-1.08,-0.24,0.33,0.0,0.0,0.0,0.0,0.0,0.0,-2.31
0.24,-0.095,0.0,0.0,0.0,0.0,-0.62,0.0,0.41,-1.11,0.0,-1.08,-0.24,0.33,0.0,0.0,0.0,0.0,0.0,0.0,-2.31
0.24,-0.1,0.0,0.0,0.0,0.0,-0.62,0.0,0.41,-1.11,0.0,-1.08,-0.24,0.33,0.0,0.0,0.0,0.0,0.0,0.0,-2.31
0.24,-0.105,0.0,0.0,0.0,0.0,-0.62,0.0,0.41,-1.11,0.0,-1.08,-0.24,0.33,0.0,0.0,0.0,0.0,0.0,0.0,-2.31
0.24,-0.11,0.0,0.0,0.0,0.0,-0.62,0.0,0.41,0.0,0.0,-1.08,-0.24,0.33,0.0,0.0,0.0,0.0,0.0,0.0,-1.2
0.24,-0.115,0.0,0.0,0.0,0.0,-0.62,0.0,0.41,0.0,0.0,-1.08,-0.24,0.33,0.0,0.0,0.0,0.0,0.0,0.0,-1.2
0.24,-0.12,0.0,0.0,0.0,0.0,-0.62,0.0,0.41,0.0,0.0,0.0,-0.24,0.33,0.0,0.0,0.0,0.0,0.0,0.0,-0.12
0.24,-0.125,0.0,0.0,0.0,0.0,-0.62,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.86
0.24,-0.13,0.0,0.0,0.0,0.0,-0.62,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.86
0.24,-0.135,0.0,0.0,0.0,0.0,-0.62,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.86
0.24,-0.14,0.0,0.0,0.0,0.0,-0.62,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.86
0.24,-0.145,0.0,0.0,0.0,0.0,-0.62,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.86
0.24,-0.15,0.0,0.0,0.0,0.0,-0.62,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.86
0.24,-0.155,0.0,0.0,0.0,0.0,-0.62,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.86
0.24,-0.16,0.0,0.0,0.0,0.0,-0.62,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.86
0.24,-0.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24
0.24,-0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24
0.24,-0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24
0.24,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-0.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.235,0.0,-1.75,1.04,0.02,-0.8,-0.13,1.01,1.07,-3.61,4.01,-0.94,0.45,4.77,-2.64,0.21,-0.66,0.0,0.0,0.31,2.36
0.235,-0.005,-1.75,1.04,0.02,-0.8,-0.13,1.01,0.83,-3.61,4.01,-0.94,0.45,4.77,-2.64,0.21,-0.66,0.0,0.0,0.31,2.12
0.235,-0.01,-1.82,1.04,-0.13,-0.8,-0.13,1.01,0.83,-3.61,4.01,-0.94,0.45,4.77,-2.64,0.21,-0.66,0.0,0.0,0.31,1.9
